Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2018-11-28,104.513439077794,99.5678,1.12936,1.13875,1.1265,1.13676,2.2,-0.7871,-0.863,0.0759,54.2226,99.2238
2018-11-27,100.77006715978,99.1439,1.13303,1.13437,1.1276,1.12938,2.2,-1.0345,-0.8819,-0.1526,50.1334,99.1477
2018-11-26,100.139901535391,98.9643,1.13362,1.13837,1.1322,1.13303,2.2,-1.1801,-0.8438,-0.3363,46.1806,99.3991
2018-11-23,96.9420461280434,99.0542,1.14031,1.14212,1.13262,1.13365,2.2,-1.2071,-0.7597,-0.4473,38.401,99.9235
2018-11-21,96.9796679563652,99.7117,1.13664,1.14247,1.1363,1.13841,2.2,-0.973,-0.6479,-0.3251,41.3361,100.7834
2018-11-20,95.6629039651043,100.2164,1.14526,1.14724,1.1356,1.13666,2.2,-0.797,-0.5666,-0.2304,35.775,101.2878
2018-11-19,98.3998919755109,101.2095,1.14163,1.1465,1.1393,1.14524,2.2,-0.3885,-0.509,0.1205,51.5986,101.7685
2018-11-16,101.85169472403,101.071,1.13231,1.14203,1.1318,1.1418,2.2,-0.481,-0.5392,0.0582,47.7749,101.5462
2018-11-15,100.901743558907,101.1504,1.13135,1.13624,1.12698,1.13229,2.2,-0.478,-0.5537,0.0757,40.3226,101.4461
2018-11-14,98.7290829733261,101.6843,1.12988,1.13476,1.1262,1.13133,2.2,-0.2672,-0.5726,0.3054,49.8488,101.5959
2018-11-13,100.143110435052,101.6868,1.12201,1.12995,1.1218,1.12988,2.2,-0.2921,-0.649,0.3569,46.0923,101.3024
2018-11-12,100.077559493117,101.9029,1.13166,1.13306,1.1214,1.12193,2.19,-0.2219,-0.7382,0.5163,52.5652,100.9381
2018-11-09,102.605952967726,101.7778,1.13641,1.1369,1.1315,1.1333,2.19,-0.3075,-0.8673,0.5598,58.1894,100.8155
2018-11-08,104.647396587965,101.3274,1.14302,1.14469,1.135,1.13638,2.2,-0.5485,-1.0072,0.4587,62.1662,100.3323
2018-11-07,104.844049413768,100.5793,1.14189,1.14997,1.1393,1.143,2.2,-0.9388,-1.1219,0.1831,55.3425,99.8406
2018-11-06,100.873535216605,100.1559,1.14081,1.1438,1.139,1.14192,2.2,-1.1983,-1.1677,-0.0306,47.9704,99.7442
2018-11-05,100.676882390802,100.0672,1.13909,1.1424,1.13529,1.14081,2.2,-1.3156,-1.16,-0.1556,43.8826,99.7807
2018-11-02,99.412685653498,100.169,1.14044,1.14558,1.1371,1.1387,2.19,-1.3499,-1.1211,-0.2288,44.2232,100.057
2018-11-01,99.1879395668662,100.2704,1.1317,1.14241,1.1311,1.14042,2.2,-1.3846,-1.0639,-0.3207,45.8839,100.2864
2018-10-31,100.021372971459,100.2758,1.13429,1.13604,1.13,1.13168,2.2,-1.4631,-0.9837,-0.4793,40.1725,100.572
2018-10-30,97.1371315263503,100.6175,1.13728,1.13879,1.1337,1.13428,2.2,-1.3884,-0.8639,-0.5245,33.1525,101.1563
2018-10-29,97.2495045696663,101.4055,1.1404,1.14164,1.1359,1.13728,2.2,-1.1032,-0.7328,-0.3705,45.0447,101.707
2018-10-26,100.161839275604,101.4425,1.1374,1.14212,1.1334,1.14,2.2,-1.1474,-0.6401,-0.5073,33.3417,101.7819
